exchgID,state,action,theme,UI,utterance
00_S,qs_o_s_10_Nx_h_ne,change_theme,-,-, *** これから食事の話をしましょう***
00_U,-,-,-,3.788066151966783,
01_S,ct_0,qs_x_s,食事,-, 最近はまっている食べ物はありますか・・
01_U,-,-,-,4.24053251884851,
02_S,qs_x_s_27_Nx_n_po,qs_x_s,食事,-, どんなところに行きますか？和食ですか洋食ですか？
02_U,-,-,-,4.533744294591639,
03_S,qs_x_s_22_Nx_n_po,qs_x_s,食事,-, 甘いものと、からいものどちらがお好きですか？
03_U,-,-,-,4.409039328260957,
04_S,qs_x_s_25_Nx_n_po,qs_x_s,食事,-, 普段はどこでスイーツを買いますか？
04_U,-,-,-,4.406618672761409,
05_S,qs_x_s_26_Nx_n_po,qs_x_s,食事,-, ちょっと特別なスイーツを買うときは近くのお店とか「デパートの地下」とか、利用しますか？
05_U,-,-,-,4.21635639547758,
06_S,qs_x_s_24_Nx_n_po,qs_x_s,食事,-, お友達とランチに行ったりしますか？
06_U,-,-,-,4.166804575806218,
07_S,qs_x_s_28_Nx_n_po,qs_x_s,食事,-, 甘いものでしたらチョコレートやケーキといった、どのジャンルのものを好んで食べますか？
07_U,-,-,-,4.405274797271036,
08_S,qs_x_s_29_Nx_n_po,qs_x_s,食事,-, 私の知りあいの人はおつまみが好きで、さきいかにマヨネーズと七味をつけて食べるのが好きだそうです。おつまみは食べますか？
08_U,-,-,-,4.262366718934862,
09_S,qs_x_s_0_Nx_n_po,change_theme,-,-, *** これからスポーツの話をしましょう***
09_U,-,-,-,3.7727451689572487,
10_S,ct_0,qs_x_s,スポーツ,-, スポーツはよくするんですか？
10_U,-,-,-,4.21623779494572,
11_S,qs_x_s_6_Nx_n_po,qs_x_s,スポーツ,-, パリで開催されるオリンピックを、見にいく予定はありますか？
11_U,-,-,-,4.2812503373435495,
12_S,qs_x_s_11_Nx_n_po,qs_x_s,スポーツ,-, どんなスポーツをされますか？
12_U,-,-,-,4.443185963216406,
13_S,qs_x_s_7_Nx_n_po,qs_x_s,スポーツ,-, 2024年にはオリンピックがパリで開催されるようですね。ご存じですか？
13_U,-,-,-,4.251810195689044,
