exchgID,state,action,theme,UI,utterance
00_S,qs_o_s_14_Nx_h_ne,change_theme,-,-, *** これから旅行の話をしましょう***
00_U,-,-,-,3.892335573701505,はい
01_S,ct_0,qs_x_s,旅行,-, 今までいった「旅行」で特におすすめの場所はありますか？
01_U,-,-,-,5.131754436634063,沖ノ島っていうところが おすすめです
02_S,qs_x_s_34_No_h_po,qs_o_d,default,-,沖ノ島ですか。 もう少し詳しく教えていただいていいですか。
02_U,-,-,-,5.117854348773561,島根の沖にある島
03_S,qs_x_s_34_qs_o_d_0_No_h_po,re_o_m,default,-,島根ですか。 なるほど、それは面白そうですね。
03_U,-,-,-,4.081875893740205,はい
04_S,re_o_m_0_Nx_n_po,qs_x_s,旅行,-, 数年前からスペインの「バルセロナ」は人気の観光スポットですが、ご存知ですか？
04_U,-,-,-,4.810862679488718,知らなかったです
05_S,qs_x_s_36_Nx_n_po,qs_x_s,旅行,-, 旅行にはよく行かれますか？
05_U,-,-,-,4.750584970805937,たまに行きます
06_S,qs_x_s_30_No_n_po,re_o_m,default,-, たのしそうですね。
06_U,-,-,-,4.274922079618819,はい
07_S,re_x_m_0_Nx_n_po,change_theme,-,-, *** これからスポーツの話をしましょう***
07_U,-,-,-,3.850040973740102,はい
08_S,ct_0,qs_x_s,スポーツ,-, 競技はなにをご覧になりますか？
08_U,-,-,-,5.009689283736952,野球を観ます
09_S,qs_x_s_10_No_h_po,qs_o_d,default,-,野球ですか。 それのどういったところが好きなんですか？
09_U,-,-,-,5.04115223297399,データを見てるだけで楽しい所
10_S,qs_x_s_10_qs_o_d_0_No_h_po,qs_o_d,default,-, もう少し詳しく教えていただいていいですか。
10_U,-,-,-,5.076266135787309,例えば何とか
