exchgID,state,action,theme,UI,utterance
00_S,qs_o_s_7_Nx_h_ne,change_theme,-,-, *** これから音楽の話をしましょう***
00_U,-,-,-,3.7426981049191923,
01_S,ct_0,qs_x_s,音楽,-, カラオケで歌ったりするのですか？
01_U,-,-,-,4.199200803856943,
02_S,qs_x_s_21_Nx_n_po,qs_x_s,音楽,-, おすすめの歌手やきょくってありますか？
02_U,-,-,-,4.268097329834597,
03_S,qs_x_s_13_Nx_n_po,qs_x_s,音楽,-, カラオケでよくなにをうたうのですか？
03_U,-,-,-,4.474278995595153,
04_S,qs_x_s_16_Nx_n_po,qs_x_s,音楽,-, カラオケに行くときはお友達と行きますか？
04_U,-,-,-,4.1802493420314555,
05_S,qs_x_s_17_Nx_n_po,qs_x_s,音楽,-, がっきは何を演奏するのですか。
05_U,-,-,-,4.357416732085537,
06_S,qs_x_s_19_Nx_n_po,qs_x_s,音楽,-, コンサートとかには行きますか？
06_U,-,-,-,4.081577462001834,
07_S,qs_x_s_15_Nx_n_po,qs_x_s,音楽,-, 聞くとしたら、邦楽，洋楽，クラシックなどどんなジャンルを聞きますか？
07_U,-,-,-,4.469176303223941,
08_S,qs_x_s_12_Nx_n_po,qs_x_s,音楽,-, 「スローテンポ」のきょくで、ボサノバとか、カフェでかかっているような音楽をかけてリラックスするひともいると聞きましたが、リラックスするために聞く、きょくとかはありますか？
08_U,-,-,-,4.422336911737956,
09_S,qs_x_s_1_Nx_n_po,qs_x_s,音楽,-, カラオケは好きですか？
09_U,-,-,-,4.232503871487793,
10_S,qs_x_s_14_Nx_n_po,qs_x_s,音楽,-, おすすめの曲はありますか？
10_U,-,-,-,4.5187228659722,
11_S,qs_x_s_20_Nx_n_po,qs_x_s,音楽,-, 最近音楽は聞きましたか？
11_U,-,-,-,4.192508400648282,
12_S,qs_x_s_28_Nx_n_po,change_theme,-,-, *** これから食事の話をしましょう***
12_U,-,-,-,3.8114081790549905,
13_S,ct_0,qs_x_s,食事,-, どんなところに行きますか？和食ですか洋食ですか？
13_U,-,-,-,4.514833511458184,
14_S,qs_x_s_22_Nx_n_po,qs_x_s,食事,-, 私の知りあいの人はおつまみが好きで、さきいかにマヨネーズと七味をつけて食べるのが好きだそうです。おつまみは食べますか？
14_U,-,-,-,4.440876694474448,
15_S,qs_x_s_23_Nx_n_po,qs_x_s,食事,-, 普段はどこでスイーツを買いますか？
15_U,-,-,-,4.461592360166716,
16_S,qs_x_s_26_Nx_n_po,qs_x_s,食事,-, お友達とランチに行ったりしますか？
16_U,-,-,-,4.3293484388620564,
17_S,qs_x_s_28_Nx_n_po,qs_x_s,食事,-, 甘いものと、からいものどちらがお好きですか？
17_U,-,-,-,4.446661010758472,
18_S,qs_x_s_25_Nx_n_po,qs_x_s,食事,-, ちょっと特別なスイーツを買うときは近くのお店とか「デパートの地下」とか、利用しますか？
18_U,-,-,-,4.224699091773858,
19_S,qs_x_s_24_Nx_n_po,qs_x_s,食事,-, 最近はまっている食べ物はありますか・・
19_U,-,-,-,4.358582582664367,
20_S,qs_x_s_27_Nx_n_po,qs_x_s,食事,-, 甘いものでしたらチョコレートやケーキといった、どのジャンルのものを好んで食べますか？
20_U,-,-,-,4.736297002234098,
21_S,qs_x_s_7_Nx_n_po,change_theme,-,-, *** これからスポーツの話をしましょう***
21_U,-,-,-,3.8803361120633935,
22_S,ct_0,qs_x_s,スポーツ,-, なにかおすすめのスポーツ観戦はありますか？
22_U,-,-,-,4.619189303119674,
23_S,qs_x_s_9_Nx_n_po,qs_x_s,スポーツ,-, 2024年にはオリンピックがパリで開催されるようですね。ご存じですか？
23_U,-,-,-,4.4356410972803415,
24_S,qs_x_s_3_Nx_n_po,qs_x_s,スポーツ,-, 最近スポーツはしましたか？
24_U,-,-,-,4.26235841933612,
25_S,qs_x_s_8_Nx_n_po,qs_x_s,スポーツ,-, パリで開催されるオリンピックを、見にいく予定はありますか？
25_U,-,-,-,4.209285846857192,
26_S,qs_x_s_11_Nx_n_po,qs_x_s,スポーツ,-, オリンピックは今までに見たことはありますか？
26_U,-,-,-,4.2672373761111,
27_S,qs_x_s_5_Nx_n_po,qs_x_s,スポーツ,-, 好きなスポーツはなんですか？
27_U,-,-,-,4.32624105042281,
28_S,qs_x_s_4_Nx_n_po,qs_x_s,スポーツ,-, どんなスポーツをされますか？
28_U,-,-,-,4.314385560309675,
29_S,qs_x_s_7_Nx_n_po,qs_x_s,スポーツ,-, 競技はなにをご覧になりますか？
29_U,-,-,-,4.404909970074368,
30_S,qs_x_s_10_Nx_n_po,qs_x_s,スポーツ,-, スポーツはよくするんですか？
30_U,-,-,-,4.116847604031519,
31_S,qs_x_s_6_Nx_n_po,qs_x_s,スポーツ,-, スポーツをする目的は何ですか？
31_U,-,-,-,4.317323384291977,
32_S,qs_x_s_2_Nx_n_po,qs_x_s,スポーツ,-, スポーツはするほうが好きですか？それとも見るほうが好きですか？
32_U,-,-,-,4.377799529318857,
33_S,qs_x_s_31_Nx_n_po,change_theme,-,-, *** これから旅行の話をしましょう***
33_U,-,-,-,3.825358729224045,
34_S,ct_0,qs_x_s,旅行,-, 数年前からスペインの「バルセロナ」は人気の観光スポットですが、ご存知ですか？
34_U,-,-,-,4.3548304005453495,
35_S,qs_x_s_36_Nx_n_po,qs_x_s,旅行,-, 旅行に行くときはなにか目的はありますか？
35_U,-,-,-,4.212707066591107,
36_S,qs_x_s_32_Nx_n_po,qs_x_s,旅行,-, 今までいった「旅行」で特におすすめの場所はありますか？
