exchgID,state,action,theme,UI,utterance
00_S,qs_o_s_10_Nx_h_ne,change_theme,-,-, *** これから食事の話をしましょう***
00_U,-,-,-,3.7509446045298613,
01_S,ct_0,qs_x_s,食事,-, お友達とランチに行ったりしますか？
01_U,-,-,-,4.196793013200818,
02_S,qs_x_s_28_Nx_n_po,qs_x_s,食事,-, 甘いものでしたらチョコレートやケーキといった、どのジャンルのものを好んで食べますか？
02_U,-,-,-,4.341437947693545,
03_S,qs_x_s_29_Nx_n_po,qs_x_s,食事,-, 甘いものと、からいものどちらがお好きですか？
03_U,-,-,-,4.329950117165822,
04_S,qs_x_s_25_Nx_n_po,qs_x_s,食事,-, どんなところに行きますか？和食ですか洋食ですか？
04_U,-,-,-,4.329602730221661,
05_S,qs_x_s_22_Nx_n_po,qs_x_s,食事,-, ちょっと特別なスイーツを買うときは近くのお店とか「デパートの地下」とか、利用しますか？
05_U,-,-,-,4.153419498194191,
06_S,qs_x_s_24_Nx_n_po,qs_x_s,食事,-, 私の知りあいの人はおつまみが好きで、さきいかにマヨネーズと七味をつけて食べるのが好きだそうです。おつまみは食べますか？
06_U,-,-,-,4.261192939495524,
07_S,qs_x_s_23_Nx_n_po,qs_x_s,食事,-, 普段はどこでスイーツを買いますか？
07_U,-,-,-,4.430755123958313,
08_S,qs_x_s_26_Nx_n_po,qs_x_s,食事,-, 最近はまっている食べ物はありますか・・
08_U,-,-,-,4.169629618369712,
09_S,qs_x_s_17_Nx_n_po,change_theme,-,-, *** これから音楽の話をしましょう***
09_U,-,-,-,3.6866937499637897,
10_S,ct_0,qs_x_s,音楽,-, 「スローテンポ」のきょくで、ボサノバとか、カフェでかかっているような音楽をかけてリラックスするひともいると聞きましたが、リラックスするために聞く、きょくとかはありますか？
10_U,-,-,-,4.207937087712863,
11_S,qs_x_s_1_Nx_n_po,qs_x_s,音楽,-, 最近音楽は聞きましたか？
11_U,-,-,-,4.2021574910323105,
12_S,qs_x_s_18_Nx_n_po,qs_x_s,音楽,-, おすすめの歌手やきょくってありますか？
12_U,-,-,-,4.144390470002048,
13_S,qs_x_s_13_Nx_n_po,qs_x_s,音楽,-, カラオケで歌ったりするのですか？
13_U,-,-,-,4.177826024951722,
14_S,qs_x_s_21_Nx_n_po,qs_x_s,音楽,-, がっきは何を演奏するのですか。
14_U,-,-,-,4.337559319564312,
15_S,qs_x_s_19_Nx_n_po,qs_x_s,音楽,-, 聞くとしたら、邦楽，洋楽，クラシックなどどんなジャンルを聞きますか？
15_U,-,-,-,4.47244862818161,
16_S,qs_x_s_12_Nx_n_po,qs_x_s,音楽,-, カラオケでよくなにをうたうのですか？
16_U,-,-,-,4.367726700615222,
17_S,qs_x_s_16_Nx_n_po,qs_x_s,音楽,-, コンサートとかには行きますか？
17_U,-,-,-,4.13813876573165,
18_S,qs_x_s_15_Nx_n_po,qs_x_s,音楽,-, カラオケに行くときはお友達と行きますか？
18_U,-,-,-,4.2388656843547725,
19_S,qs_x_s_17_Nx_n_po,qs_x_s,音楽,-, カラオケは好きですか？
19_U,-,-,-,4.1496793056678,
20_S,qs_x_s_14_Nx_n_po,qs_x_s,音楽,-, おすすめの曲はありますか？
20_U,-,-,-,4.121191503150075,
21_S,qs_x_s_8_Nx_n_po,change_theme,-,-, *** これからスポーツの話をしましょう***
21_U,-,-,-,3.6851964843941176,
22_S,ct_0,qs_x_s,スポーツ,-, 競技はなにをご覧になりますか？
22_U,-,-,-,4.364308888441759,
23_S,qs_x_s_10_Nx_n_po,qs_x_s,スポーツ,-, なにかおすすめのスポーツ観戦はありますか？
23_U,-,-,-,4.103797689212877,
24_S,qs_x_s_9_Nx_n_po,qs_x_s,スポーツ,-, スポーツをする目的は何ですか？
24_U,-,-,-,4.373503627775261,
25_S,qs_x_s_2_Nx_n_po,qs_x_s,スポーツ,-, どんなスポーツをされますか？
