exchgID,state,action,theme,UI,utterance
00_S,qs_o_s_10_Nx_h_ne,change_theme,-,-, *** これから食事の話をしましょう***
00_U,-,-,-,3.71731236903622,
01_S,ct_0,qs_x_s,食事,-, ちょっと特別なスイーツを買うときは近くのお店とか「デパートの地下」とか、利用しますか？
01_U,-,-,-,4.157138105988983,
02_S,qs_x_s_24_Nx_n_po,qs_x_s,食事,-, どんなところに行きますか？和食ですか洋食ですか？
02_U,-,-,-,4.7357772414892,
03_S,qs_x_s_22_Nx_n_po,re_x_m,default,-, なるほど、そうなんですね・・
03_U,-,-,-,3.664473104253812,
04_S,re_x_m_0_Nx_n_po,qs_x_s,食事,-, 最近はまっている食べ物はありますか・・
04_U,-,-,-,4.149379048016017,
05_S,qs_x_s_27_Nx_n_po,qs_x_s,食事,-, 甘いものでしたらチョコレートやケーキといった、どのジャンルのものを好んで食べますか？
05_U,-,-,-,4.472194350330945,
06_S,qs_x_s_29_Nx_n_po,qs_x_s,食事,-, 普段はどこでスイーツを買いますか？
06_U,-,-,-,4.407239370909994,
07_S,qs_x_s_26_Nx_n_po,qs_x_s,食事,-, 甘いものと、からいものどちらがお好きですか？
07_U,-,-,-,4.298896025995891,
08_S,qs_x_s_25_Nx_n_po,qs_x_s,食事,-, 私の知りあいの人はおつまみが好きで、さきいかにマヨネーズと七味をつけて食べるのが好きだそうです。おつまみは食べますか？
08_U,-,-,-,4.136663131038143,
09_S,qs_x_s_23_Nx_n_po,qs_x_s,食事,-, お友達とランチに行ったりしますか？
09_U,-,-,-,4.139033379989214,
10_S,qs_x_s_6_Nx_n_po,change_theme,-,-, *** これからスポーツの話をしましょう***
10_U,-,-,-,3.7206908912526213,
11_S,ct_0,qs_x_s,スポーツ,-, 競技はなにをご覧になりますか？
11_U,-,-,-,4.352434130989498,
12_S,qs_x_s_10_Nx_n_po,qs_x_s,スポーツ,-, スポーツはするほうが好きですか？それとも見るほうが好きですか？
12_U,-,-,-,4.361598230588763,
13_S,qs_x_s_0_Nx_n_po,qs_x_s,スポーツ,-, どんなスポーツをされますか？
13_U,-,-,-,4.379471705182379,
14_S,qs_x_s_7_Nx_n_po,qs_x_s,スポーツ,-, オリンピックは今までに見たことはありますか？
14_U,-,-,-,4.195260004724813,
15_S,qs_x_s_5_Nx_n_po,qs_x_s,スポーツ,-, 最近スポーツはしましたか？
15_U,-,-,-,4.140745766188264,
16_S,qs_x_s_8_Nx_n_po,qs_x_s,スポーツ,-, パリで開催されるオリンピックを、見にいく予定はありますか？
16_U,-,-,-,4.185912898747281,
17_S,qs_x_s_11_Nx_n_po,qs_x_s,スポーツ,-, スポーツをする目的は何ですか？
17_U,-,-,-,4.386791253882341,
18_S,qs_x_s_2_Nx_n_po,re_x_d,default,-, なるほど、そうなんですね。
18_U,-,-,-,3.586065750707946,
19_S,re_x_d_0_Nx_n_po,qs_x_s,スポーツ,-, 2024年にはオリンピックがパリで開催されるようですね。ご存じですか？
19_U,-,-,-,4.1699076289936485,
20_S,qs_x_s_3_Nx_n_po,qs_x_s,スポーツ,-, 好きなスポーツはなんですか？
20_U,-,-,-,4.362796509478894,
21_S,qs_x_s_4_Nx_n_po,qs_x_s,スポーツ,-, スポーツはよくするんですか？
21_U,-,-,-,4.208217015416538,
22_S,qs_x_s_6_Nx_n_po,qs_x_s,スポーツ,-, なにかおすすめのスポーツ観戦はありますか？
22_U,-,-,-,4.189891476795523,
23_S,qs_o_d_0_Nx_n_po,change_theme,-,-, *** これから旅行の話をしましょう***
23_U,-,-,-,3.705403709062005,
24_S,ct_0,qs_x_s,旅行,-, 旅行に行くときはなにか目的はありますか？
24_U,-,-,-,4.134119587312079,
25_S,qs_x_s_32_Nx_n_po,qs_x_s,旅行,-, 旅行にはよく行かれますか？
25_U,-,-,-,4.130331757635671,
26_S,qs_x_s_30_Nx_n_po,qs_x_s,旅行,-, さいきん旅行には行きましたか？
26_U,-,-,-,4.124070405075485,
27_S,qs_x_s_35_Nx_n_po,qs_x_s,旅行,-, 「温泉」などリフレッシュするためにいきますか？
27_U,-,-,-,4.243134903446135,
28_S,qs_x_s_33_Nx_n_po,qs_x_s,旅行,-, 数年前からスペインの「バルセロナ」は人気の観光スポットですが、ご存知ですか？
28_U,-,-,-,4.12604384309728,
29_S,qs_x_s_36_Nx_n_po,qs_x_s,旅行,-, 今までいった「旅行」で特におすすめの場所はありますか？
29_U,-,-,-,4.129764928514371,
30_S,qs_x_s_34_Nx_n_po,qs_x_s,旅行,-, 旅行はどこに行ったことがありますか？
30_U,-,-,-,4.332412718405389,
31_S,qs_x_s_13_Nx_n_po,change_theme,-,-, *** これから音楽の話をしましょう***
31_U,-,-,-,3.649080999055027,
32_S,ct_0,qs_x_s,音楽,-, 聞くとしたら、邦楽，洋楽，クラシックなどどんなジャンルを聞きますか？
32_U,-,-,-,4.321046304114137,
33_S,qs_x_s_12_Nx_n_po,qs_x_s,音楽,-, カラオケは好きですか？
33_U,-,-,-,4.125905485099132,
34_S,qs_x_s_14_Nx_n_po,qs_x_s,音楽,-, おすすめの歌手やきょくってありますか？
34_U,-,-,-,4.134171188176445,
35_S,qs_x_s_13_Nx_n_po,qs_x_s,音楽,-, コンサートとかには行きますか？
35_U,-,-,-,4.163748755916291,
36_S,qs_x_s_15_Nx_n_po,qs_x_s,音楽,-, カラオケに行くときはお友達と行きますか？
36_U,-,-,-,4.182011749224509,
37_S,qs_x_s_17_Nx_n_po,re_x_m,default,-, なるほど。
37_U,-,-,-,3.6069036918328417,
38_S,re_x_m_0_Nx_n_po,qs_x_s,音楽,-, 最近音楽は聞きましたか？
38_U,-,-,-,4.182737394915823,
39_S,qs_x_s_18_Nx_n_po,qs_x_s,音楽,-, カラオケでよくなにをうたうのですか？
39_U,-,-,-,4.3238558017353625,
40_S,qs_x_s_16_Nx_n_po,qs_x_s,音楽,-, がっきは何を演奏するのですか。
40_U,-,-,-,4.34951697130733,
41_S,qs_x_s_19_Nx_n_po,qs_x_s,音楽,-, 「スローテンポ」のきょくで、ボサノバとか、カフェでかかっているような音楽をかけてリラックスするひともいると聞きましたが、リラックスするために聞く、きょくとかはありますか？
41_U,-,-,-,4.2566541053628395,
42_S,qs_x_s_1_Nx_n_po,qs_x_s,音楽,-, カラオケで歌ったりするのですか？
42_U,-,-,-,4.188982211818098,
43_S,qs_x_s_21_Nx_n_po,qs_x_s,音楽,-, おすすめの曲はありますか？
43_U,-,-,-,4.131914824949769,
