exchgID,state,action,theme,UI,utterance
00_S,qs_o_s_10_Nx_h_ne,change_theme,-,-, *** これから食事の話をしましょう***
00_U,-,-,-,3.8552511578306667,はい
01_S,ct_0,qs_x_s,食事,-, 私の知りあいの人はおつまみが好きで、さきいかにマヨネーズと七味をつけて食べるのが好きだそうです。おつまみは食べますか？
01_U,-,-,-,4.835090383743086,食べますよ
02_S,qs_x_s_23_Nx_n_po,qs_x_s,食事,-, 普段はどこでスイーツを買いますか？
02_U,-,-,-,4.731739666166431,コンビニ かな
03_S,qs_x_s_26_No_n_po,qs_o_d,default,-,コンビニですか。 もう少し詳しく教えていただいていいですか。
03_U,-,-,-,5.047097588879346,近くのコンビニです
04_S,qs_x_s_26_qs_o_d_0_No_h_po,qs_x_s,食事,-, どんなところに行きますか？和食ですか洋食ですか？
04_U,-,-,-,5.097750095091864,和食が多い
05_S,qs_x_s_22_No_h_po,qs_o_d,default,-, ほかには、ありますか？
05_U,-,-,-,4.6563165421563175,を買ってね
06_S,qs_x_s_22_qs_o_d_0_Nx_n_po,qs_x_s,食事,-, ちょっと特別なスイーツを買うときは近くのお店とか「デパートの地下」とか、利用しますか？
06_U,-,-,-,4.9112034592171225,コンビニがいいです やっぱり
07_S,qs_x_s_24_No_n_po,re_x_d,default,-, そうなんですね。
07_U,-,-,-,3.8767416178193432,はい
08_S,re_x_d_0_Nx_n_po,qs_x_s,食事,-, 最近はまっている食べ物はありますか・・
08_U,-,-,-,4.618742864426457,バナナ柄
09_S,qs_x_s_27_No_n_ne,qs_x_s,食事,-, 甘いものでしたらチョコレートやケーキといった、どのジャンルのものを好んで食べますか？
09_U,-,-,-,5.065649334698897,チョコが好きです
10_S,qs_x_s_29_No_h_po,qs_o_d,default,-,チョコですか。 それのどういったところが好きなんですか？
10_U,-,-,-,5.0955869308852675,なんかちょっと苦味があるとこ
11_S,qs_x_s_29_qs_o_d_0_No_h_po,qs_o_s,食事,-, どこで食べられたんですか・・
11_U,-,-,-,4.867749331251164,今家か
12_S,qs_o_s_11_No_n_po,qs_x_s,食事,-, お友達とランチに行ったりしますか？
12_U,-,-,-,4.82258670948624,たまに行きます
13_S,qs_x_s_28_No_n_po,re_x_d,default,-, なるほど、そうなんですね。
13_U,-,-,-,3.7635672420541986,はい
14_S,qs_x_s_20_Nx_n_po,change_theme,-,-, *** これから音楽の話をしましょう***
14_U,-,-,-,3.8546909990096574,はい
15_S,ct_0,qs_x_s,音楽,-, 最近音楽は聞きましたか？
15_U,-,-,-,4.833259213067842,よく聞いています
16_S,qs_x_s_18_Nx_n_po,qs_x_s,音楽,-, 「スローテンポ」のきょくで、ボサノバとか、カフェでかかっているような音楽をかけてリラックスするひともいると聞きましたが、リラックスするために聞く、きょくとかはありますか？
16_U,-,-,-,4.847394147596114,久石譲とか
17_S,qs_x_s_1_No_n_po,qs_o_d,default,-,久石譲ですか。 もう少し詳しく教えていただいていいですか。
17_U,-,-,-,5.090650323287473,まあなんかクラシックみたいな音楽
18_S,qs_x_s_1_qs_o_d_0_No_h_po,re_x_d,default,-, そうなんですね。
18_U,-,-,-,3.7638662243830505,はい
19_S,re_x_d_0_Nx_n_po,qs_x_s,音楽,-, コンサートとかには行きますか？
19_U,-,-,-,4.849235048323687,たまに行きます
20_S,qs_x_s_15_No_n_po,qs_x_s,音楽,-, 聞くとしたら、邦楽，洋楽，クラシックなどどんなジャンルを聞きますか？
20_U,-,-,-,5.0722616599444645,邦楽が多いです
21_S,qs_x_s_12_No_h_po,qs_o_d,default,-, それのどういったところが好きなんですか？
21_U,-,-,-,5.059109802953751,灯が分かるところ
22_S,qs_x_s_12_qs_o_d_0_No_h_po,qs_o_d,default,-, そのほかにおすすめのものはありますか？
22_U,-,-,-,4.806779345166912,クラシックとか
23_S,qs_x_s_12_qs_o_d_0_No_n_po,re_o_m,default,-, たのしそうですね。
23_U,-,-,-,4.154576081498275,はい
24_S,qs_o_s_4_Nx_n_po,change_theme,-,-, *** これからスポーツの話をしましょう***
24_U,-,-,-,3.9697314896105085,はい
25_S,ct_0,qs_x_s,スポーツ,-, オリンピックは今までに見たことはありますか？
25_U,-,-,-,4.821378291245839,フィリピン 奈良
26_S,qs_x_s_5_No_n_po,re_o_m,default,-,フィリピンですか。 たのしそうですね。
26_U,-,-,-,4.6295950653380515,フィリピンではない
27_S,re_o_m_0_No_n_ne,qs_x_s,スポーツ,-, パリで開催されるオリンピックを、見にいく予定はありますか？
27_U,-,-,-,4.8175653391235205,テレビで見ます
28_S,qs_x_s_11_No_n_po,re_o_m,default,-,テレビですか。 そうなんですね，新しい知識が増えました，今度知りあいにもすすめてみたいと思います！
28_U,-,-,-,4.558457032798328,摂氏
29_S,re_o_m_0_No_n_po,qs_o_d,default,-, それのどういったところが好きなんですか？
29_U,-,-,-,4.811570478880145,鳥
