exchgID,state,action,theme,UI,utterance
00_S,qs_o_s_2_Nx_h_ne,change_theme,-,-, *** これからスポーツの話をしましょう***
00_U,-,-,-,3.6524861822641057,
01_S,ct_0,qs_x_s,スポーツ,-, なにかおすすめのスポーツ観戦はありますか？
01_U,-,-,-,4.1882320374324795,
02_S,qs_x_s_9_Nx_n_po,qs_x_s,スポーツ,-, オリンピックは今までに見たことはありますか？
02_U,-,-,-,4.200421547809715,
03_S,qs_x_s_5_Nx_n_po,qs_x_s,スポーツ,-, 好きなスポーツはなんですか？
03_U,-,-,-,4.374606358085612,
04_S,qs_x_s_4_Nx_n_po,qs_x_s,スポーツ,-, 最近スポーツはしましたか？
04_U,-,-,-,4.224648031766904,
05_S,qs_x_s_8_Nx_n_po,qs_x_s,スポーツ,-, どんなスポーツをされますか？
05_U,-,-,-,4.436307994257392,
06_S,qs_x_s_7_Nx_n_po,qs_x_s,スポーツ,-, スポーツをする目的は何ですか？
06_U,-,-,-,4.386723513770558,
07_S,qs_x_s_2_Nx_n_po,qs_x_s,スポーツ,-, 競技はなにをご覧になりますか？
07_U,-,-,-,4.437496688099629,
08_S,qs_x_s_10_Nx_n_po,qs_x_s,スポーツ,-, 2024年にはオリンピックがパリで開催されるようですね。ご存じですか？
08_U,-,-,-,4.204186344251152,
09_S,qs_x_s_3_Nx_n_po,qs_x_s,スポーツ,-, スポーツはするほうが好きですか？それとも見るほうが好きですか？
09_U,-,-,-,4.365774559618995,
10_S,qs_x_s_0_Nx_n_po,qs_x_s,スポーツ,-, パリで開催されるオリンピックを、見にいく予定はありますか？
10_U,-,-,-,4.2636455654674315,
11_S,qs_x_s_11_Nx_n_po,qs_x_s,スポーツ,-, スポーツはよくするんですか？
11_U,-,-,-,4.188375909407693,
12_S,qs_x_s_36_Nx_n_po,change_theme,-,-, *** これから旅行の話をしましょう***
12_U,-,-,-,3.66519704090378,
13_S,ct_0,qs_x_s,旅行,-, 今までいった「旅行」で特におすすめの場所はありますか？
13_U,-,-,-,4.141450572716424,
14_S,qs_x_s_34_Nx_n_po,qs_x_s,旅行,-, 「温泉」などリフレッシュするためにいきますか？
14_U,-,-,-,4.106671357494403,
15_S,qs_x_s_33_Nx_n_po,qs_x_s,旅行,-, さいきん旅行には行きましたか？
15_U,-,-,-,4.13512908274593,
